case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity
C001,PC-A cannot ping PC-B on the same switch. Both are assigned to VLAN 10 but connectivity fails.,"2x PCs connected to a Cisco 2960 switch. PC-A on Fa0/1, PC-B on Fa0/2. Both supposed to be in VLAN 10.","Switch# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   SALES                            active    
Switch# show interfaces Fa0/1 switchport
Administrative Mode: static access
Access Mode VLAN: 1",Ports Fa0/1 and Fa0/2 are assigned to VLAN 1 instead of VLAN 10.,Layer 2 - Data Link,VLAN Access Port Configuration,Medium
C002,All PCs in the building cannot obtain an IP address automatically. Static IPs work fine.,"Cisco 2811 router as DHCP server. LAN 192.168.1.0/24. PCs on Fa0/0.","Router# show ip dhcp pool
Pool LAN_POOL :
 Network: 192.168.1.0 255.255.255.0
 DNS Server: 8.8.8.8
Router# show running-config | section dhcp
ip dhcp pool LAN_POOL
 network 192.168.1.0 255.255.255.0
 dns-server 8.8.8.8",DHCP pool is missing the default-router (gateway) statement.,Layer 3 - Network,DHCP Pool Configuration,High
C003,Remote branch office (192.168.3.0/24) cannot reach HQ (192.168.1.0/24). Local LAN works fine.,"Hub-and-spoke WAN. R1: Fa0/0=192.168.1.1/24 Se0/0=10.0.0.1/30. R2: Se0/0=10.0.0.2/30 Fa0/0=192.168.3.1/24.","R2# show ip route
C    10.0.0.0/30 is directly connected, Serial0/0
C    192.168.3.0/24 is directly connected, FastEthernet0/0
R2# show running-config | section router rip
router rip
 version 2
 network 10.0.0.0",R2 RIP config missing network 192.168.3.0 statement so HQ never learns the branch network.,Layer 3 - Network,RIP Routing Protocol Configuration,High
C004,Server in DMZ (192.168.2.10) is completely unreachable from the internet-facing interface.,"Perimeter router: Gi0/0 outside (203.0.113.1/30) Gi0/1 inside Gi0/2 DMZ (192.168.2.1/24). Extended ACL on Gi0/0 inbound.","Router# show ip access-lists OUTSIDE_IN
Extended IP access list OUTSIDE_IN
    10 deny ip any host 192.168.2.10 (1482 matches)
    20 permit ip any any
Router# show ip interface Gi0/0
  Inbound  access list is OUTSIDE_IN",ACL OUTSIDE_IN has explicit deny blocking all traffic to DMZ server before the permit rule.,Layer 3 - Network,ACL Misconfiguration,Critical
C005,Trunk link between two switches shows only VLAN 1 traffic. VLANs 10 20 30 are dark.,"Two Cisco 3560 switches on Gi0/1 trunk. SW1 has VLANs 10 20 30. SW2 should route them via SVIs.","SW2# show vlan brief
VLAN Name     Status    Ports
1    default   active    Gi0/2
SW2# show interfaces Gi0/1 trunk
Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1",VLANs 10 20 30 not created on SW2 so STP prunes them from the trunk leaving only VLAN 1.,Layer 2 - Data Link,VLAN Trunk and STP Pruning,Medium
C006,All users report internet is down. Pinging ISP gateway (8.8.8.8) from router fails.,"Edge router: Gi0/0 to ISP (DHCP) Gi0/1 LAN 192.168.100.1/24. ISP gateway 203.0.113.254.","Router# show ip route
Gateway of last resort is not set
C    192.168.100.0/24 is directly connected, GigabitEthernet0/1
C    203.0.113.252/30 is directly connected, GigabitEthernet0/0
Router# show running-config | include ip route
",No default route configured — gateway of last resort is not set.,Layer 3 - Network,Default Route / Gateway of Last Resort,Critical
C007,VoIP phones on VLAN 20 cannot register with call manager. Data PCs on VLAN 10 work fine.,"Access switch. Ports Fa0/5-Fa0/12 should carry data VLAN 10 and voice VLAN 20.","Switch# show interfaces Fa0/5 switchport
Access Mode VLAN: 10
Voice VLAN: none
Switch# show vlan brief
VLAN Name     Status    Ports
10   DATA      active    Fa0/5
20   VOICE     active    ",Voice VLAN 20 exists but is not assigned to access ports using switchport voice vlan command.,Layer 2 - Data Link,Voice VLAN Configuration,Medium
C008,IPsec VPN tunnel between branch and HQ shows as down. WAN pings between routers work.,"Site-to-site IPsec VPN. HQ at 10.0.0.1 Branch at 10.0.0.2. IKEv1 Phase 1 failing.","Branch# show crypto isakmp sa
10.0.0.1   10.0.0.2   MM_NO_STATE   1001   ACTIVE (deleted)
Branch# show crypto isakmp policy
encryption: AES-256
HQ# show crypto isakmp policy
encryption: 3DES",IKEv1 Phase 1 fails: encryption mismatch — Branch proposes AES-256 but HQ is configured for 3DES.,Layer 3 - Network,IPsec VPN / IKE Phase 1,Critical
C009,New switch added to network. Connected uplink port shows as err-disabled immediately.,"New Cisco 2960 connected to distribution switch Gi1/0/24. Port security was configured on that port.","Distribution# show interfaces Gi1/0/24 status
Gi1/0/24   err-disabled
Distribution# show port-security interface Gi1/0/24
Port Status: Secure-shutdown
Violation Mode: Shutdown
Maximum MAC Addresses: 1
Security Violation Count: 1",Port security violation triggered by new switch MAC address causing err-disabled state.,Layer 2 - Data Link,Port Security Violation,High
C010,Inter-VLAN routing stopped after switch reboot. Router-on-a-stick was working before.,"R1 with sub-interfaces Fa0/0.10 and Fa0/0.20 for inter-VLAN routing connected to switch trunk port.","R1# show interfaces Fa0/0
FastEthernet0/0 is administratively down, line protocol is down
R1# show interfaces Fa0/0.10
FastEthernet0/0.10 is up, line protocol is up
R1# show running-config | section interface Fa0/0
interface FastEthernet0/0
 no ip address
 shutdown",Parent interface Fa0/0 is administratively shut down taking all sub-interfaces down with it.,Layer 1 - Physical,Router Sub-Interface / Trunk,High
